(1, 'Дмитрий', 'Морозов', 'Николаевич', 'Челябинск', '1981-09-22', 26),
(35, 'Михаил', 'Лебедев', 'Владимирович', 'Нижний Новгород', '1980-03-29', 47),
(36, 'Иван', 'Петров', 'Михайлович', 'Нижний Новгород', '1987-12-04', 49),
(37, 'Сергей', 'Смирнов', 'Иванович', 'Нижний Новгород', '2003-02-08', 3),
(38, 'Владимир', 'Лебедев', 'Владимирович', 'Новосибирск', '1999-09-25', 44),
(39, 'Юрий', 'Козлов', 'Михайлович', 'Екатеринбург', '1992-05-23', 23),
(40, 'Алексей', 'Новиков', 'Сергеевич', 'Екатеринбург', '2002-12-12', 44),
(41, 'Иван', 'Новиков', 'Юрьевич', 'Новосибирск', '1981-06-18', 50),
(42, 'Александр', 'Лебедев', 'Иванович', 'Челябинск', '2003-11-12', 1),
(43, 'Иван', 'Петров', 'Иванович', 'Самара', '2003-04-20', 16),
(44, 'Алексей', 'Новиков', 'Андреевич', 'Челябинск', '1980-10-31', 23),
(45, 'Алексей', 'Сидоров', 'Михайлович', 'Челябинск', '1996-03-14', 36),
(46, 'Николай', 'Попов', 'Алексеевич', 'Новосибирск', '1998-09-29', 33),
(47, 'Сергей', 'Морозов', 'Сергеевич', 'Ростов-на-Дону', '2002-03-12', 50),
(48, 'Сергей', 'Морозов', 'Николаевич', 'Нижний Новгород', '1989-08-08', 42),
(49, 'Андрей', 'Иванов', 'Андреевич', 'Омск', '2002-11-29', 26),
(50, 'Владимир', 'Козлов', 'Владимирович', 'Самара', '1991-08-13', 33),
(51, 'Алексей', 'Петров', 'Алексеевич', 'Новосибирск', '2004-01-21', 20),
(52, 'Николай', 'Морозов', 'Михайлович', 'Новосибирск', '1984-06-29', 40),
(53, 'Сергей', 'Сидоров', 'Владимирович', 'Казань', '2004-04-09', 14),
(54, 'Сергей', 'Смирнов', 'Владимирович', 'Омск', '1997-06-15', 11),
(55, 'Николай', 'Козлов', 'Юрьевич', 'Санкт-Петербург', '1987-04-30', 45),
(56, 'Сергей', 'Новиков', 'Михайлович', 'Казань', '1984-04-27', 28),
(57, 'Алексей', 'Морозов', 'Николаевич', 'Челябинск', '1986-05-25', 13),
(58, 'Андрей', 'Попов', 'Владимирович', 'Челябинск', '1987-12-16', 20),
(59, 'Алексей', 'Сидоров', 'Александрович', 'Казань', '1986-07-07', 14),
(60, 'Алексей', 'Лебедев', 'Дмитриевич', 'Екатеринбург', '2001-06-05', 30),
(61, 'Юрий', 'Попов', 'Алексеевич', 'Омск', '2001-06-05', 12),
(62, 'Юрий', 'Смирнов', 'Николаевич', 'Казань', '2002-02-21', 48),
(63, 'Дмитрий', 'Лебедев', 'Дмитриевич', 'Нижний Новгород', '2003-01-14', 19),
(64, 'Михаил', 'Смирнов', 'Иванович', 'Казань', '1986-05-18', 7),
(65, 'Алексей', 'Петров', 'Андреевич', 'Челябинск', '1985-09-20', 19),
(66, 'Сергей', 'Козлов', 'Иванович', 'Челябинск', '1996-02-08', 40),
(67, 'Дмитрий', 'Петров', 'Иванович', 'Челябинск', '2000-12-04', 8),
(68, 'Алексей', 'Новиков', 'Юрьевич', 'Самара', '2005-02-10', 12),
(69, 'Андрей', 'Кузнецов', 'Михайлович', 'Челябинск', '1987-06-25', 11),
(70, 'Владимир', 'Иванов', 'Иванович', 'Екатеринбург', '1981-05-27', 34),
(71, 'Владимир', 'Козлов', 'Сергеевич', 'Челябинск', '1989-11-29', 19),
(72, 'Дмитрий', 'Новиков', 'Николаевич', 'Челябинск', '1980-09-14', 35),
(73, 'Юрий', 'Лебедев', 'Сергеевич', 'Омск', '2004-06-14', 27),
(74, 'Алексей', 'Морозов', 'Алексеевич', 'Екатеринбург', '2005-06-12', 29),
(75, 'Михаил', 'Новиков', 'Дмитриевич', 'Ростов-на-Дону', '2001-05-03', 35),
(76, 'Юрий', 'Попов', 'Николаевич', 'Челябинск', '1987-12-13', 46),
(77, 'Дмитрий', 'Морозов', 'Сергеевич', 'Нижний Новгород', '1990-01-20', 17),
(78, 'Юрий', 'Морозов', 'Андреевич', 'Екатеринбург', '2004-12-05', 14),
(79, 'Дмитрий', 'Смирнов', 'Николаевич', 'Москва', '1999-09-20', 29),
(80, 'Николай', 'Сидоров', 'Иванович', 'Екатеринбург', '1994-10-13', 4),
(81, 'Александр', 'Петров', 'Михайлович', 'Новосибирск', '1984-05-11', 45),
(82, 'Алексей', 'Лебедев', 'Михайлович', 'Екатеринбург', '1994-12-08', 23),
(83, 'Иван', 'Лебедев', 'Владимирович', 'Москва', '1987-09-13', 23),
(84, 'Николай', 'Лебедев', 'Дмитриевич', 'Омск', '1991-01-01', 46),
(85, 'Дмитрий', 'Козлов', 'Михайлович', 'Омск', '1982-12-20', 29),
(86, 'Сергей', 'Новиков', 'Иванович', 'Самара', '2003-04-15', 36),
(87, 'Дмитрий', 'Кузнецов', 'Михайлович', 'Санкт-Петербург', '1988-08-06', 20),
(88, 'Дмитрий', 'Сидоров', 'Владимирович', 'Ростов-на-Дону', '1983-10-18', 50),
(89, 'Николай', 'Петров', 'Владимирович', 'Екатеринбург', '1982-02-20', 14),
(90, 'Алексей', 'Иванов', 'Александрович', 'Екатеринбург', '1988-11-29', 26),
(91, 'Владимир', 'Сидоров', 'Андреевич', 'Москва', '1993-11-26', 3),
(92, 'Алексей', 'Новиков', 'Владимирович', 'Новосибирск', '1988-01-03', 21),
(93, 'Сергей', 'Морозов', 'Владимирович', 'Челябинск', '1997-06-25', 36),
(94, 'Иван', 'Морозов', 'Андреевич', 'Екатеринбург', '2005-01-30', 27),
(95, 'Николай', 'Кузнецов', 'Николаевич', 'Новосибирск', '1998-02-17', 10),
(96, 'Сергей', 'Козлов', 'Сергеевич', 'Челябинск', '1984-10-14', 14),
(97, 'Михаил', 'Новиков', 'Владимирович', 'Самара', '1989-06-13', 34),
(98, 'Дмитрий', 'Петров', 'Дмитриевич', 'Омск', '1985-12-25', 5),
(99, 'Владимир', 'Смирнов', 'Дмитриевич', 'Самара', '1981-01-29', 28),
(100, 'Юрий', 'Козлов', 'Сергеевич', 'Санкт-Петербург', '1980-05-21', 30),
(101, 'Иван', 'Новиков', 'Владимирович', 'Казань', '1991-04-23', 3),
(102, 'Алексей', 'Лебедев', 'Алексеевич', 'Нижний Новгород', '2005-05-26', 48),
(103, 'Иван', 'Петров', 'Владимирович', 'Омск', '2004-07-16', 34),
(104, 'Дмитрий', 'Попов', 'Алексеевич', 'Новосибирск', '1996-02-22', 38),
(105, 'Александр', 'Попов', 'Алексеевич', 'Москва', '1992-03-04', 1),
(106, 'Андрей', 'Попов', 'Иванович', 'Нижний Новгород', '1994-12-28', 5),
(107, 'Юрий', 'Сидоров', 'Алексеевич', 'Самара', '1987-09-23', 37),
(108, 'Сергей', 'Новиков', 'Дмитриевич', 'Москва', '1992-08-22', 35),
(109, 'Николай', 'Иванов', 'Алексеевич', 'Санкт-Петербург', '1999-02-02', 13),
(110, 'Иван', 'Сидоров', 'Юрьевич', 'Челябинск', '2002-10-01', 41),
(111, 'Михаил', 'Иванов', 'Николаевич', 'Омск', '1996-03-29', 43),
(112, 'Владимир', 'Петров', 'Дмитриевич', 'Екатеринбург', '1987-10-11', 12),
(113, 'Владимир', 'Козлов', 'Николаевич', 'Омск', '2003-11-02', 26),
(114, 'Михаил', 'Попов', 'Владимирович', 'Екатеринбург', '1993-05-27', 27),
(115, 'Юрий', 'Новиков', 'Юрьевич', 'Омск', '1992-07-09', 10),
(116, 'Сергей', 'Морозов', 'Сергеевич', 'Челябинск', '1989-01-04', 17),
(117, 'Иван', 'Петров', 'Сергеевич', 'Москва', '1981-03-25', 5),
(118, 'Сергей', 'Морозов', 'Дмитриевич', 'Ростов-на-Дону', '1990-06-15', 5),
(119, 'Алексей', 'Лебедев', 'Юрьевич', 'Казань', '1992-11-19', 19),
(120, 'Сергей', 'Козлов', 'Владимирович', 'Новосибирск', '1995-04-15', 9),
(121, 'Дмитрий', 'Кузнецов', 'Дмитриевич', 'Новосибирск', '1982-01-09', 40),
(122, 'Иван', 'Сидоров', 'Юрьевич', 'Москва', '1987-06-18', 6),
(123, 'Михаил', 'Сидоров', 'Иванович', 'Челябинск', '1984-02-17', 31),
(124, 'Михаил', 'Петров', 'Юрьевич', 'Самара', '2004-12-11', 5),
(125, 'Александр', 'Лебедев', 'Владимирович', 'Санкт-Петербург', '1998-04-29', 48),
(126, 'Александр', 'Козлов', 'Владимирович', 'Казань', '2004-04-02', 24),
(127, 'Николай', 'Иванов', 'Иванович', 'Самара', '1999-06-28', 49),
(128, 'Михаил', 'Петров', 'Андреевич', 'Ростов-на-Дону', '2004-08-30', 32),
(129, 'Андрей', 'Морозов', 'Сергеевич', 'Челябинск', '2003-01-11', 8),
(130, 'Андрей', 'Козлов', 'Иванович', 'Новосибирск', '1993-05-14', 24),
(131, 'Николай', 'Новиков', 'Владимирович', 'Самара', '2001-07-24', 41),
(132, 'Иван', 'Морозов', 'Михайлович', 'Нижний Новгород', '1989-02-19', 44),
(133, 'Александр', 'Смирнов', 'Владимирович', 'Санкт-Петербург', '1989-02-17', 3),
(134, 'Александр', 'Попов', 'Андреевич', 'Ростов-на-Дону', '1989-04-04', 9),
(135, 'Николай', 'Петров', 'Николаевич', 'Казань', '1996-07-09', 45),
(136, 'Михаил', 'Козлов', 'Иванович', 'Челябинск', '2003-03-12', 47),
(137, 'Андрей', 'Иванов', 'Николаевич', 'Омск', '1982-08-13', 42),
(138, 'Алексей', 'Смирнов', 'Дмитриевич', 'Самара', '1995-01-09', 29),
(139, 'Сергей', 'Иванов', 'Юрьевич', 'Москва', '2005-10-23', 38),
(140, 'Николай', 'Козлов', 'Александрович', 'Ростов-на-Дону', '1986-08-09', 12),
(141, 'Михаил', 'Петров', 'Алексеевич', 'Челябинск', '1998-06-15', 17),
(142, 'Александр', 'Морозов', 'Дмитриевич', 'Москва', '1993-08-01', 50),
(143, 'Михаил', 'Смирнов', 'Андреевич', 'Екатеринбург', '1989-01-25', 5),
(144, 'Михаил', 'Сидоров', 'Дмитриевич', 'Новосибирск', '1984-04-22', 39),
(145, 'Владимир', 'Козлов', 'Андреевич', 'Самара', '1991-12-04', 26),
(146, 'Михаил', 'Смирнов', 'Владимирович', 'Москва', '1991-02-28', 24),
(147, 'Алексей', 'Петров', 'Алексеевич', 'Омск', '1988-12-10', 27),
(148, 'Алексей', 'Попов', 'Михайлович', 'Омск', '1996-06-09', 31),
(149, 'Алексей', 'Кузнецов', 'Иванович', 'Самара', '1982-11-14', 4),
(150, 'Александр', 'Иванов', 'Юрьевич', 'Челябинск', '1991-04-27', 25),
(151, 'Николай', 'Иванов', 'Александрович', 'Ростов-на-Дону', '1985-03-03', 24),
(152, 'Сергей', 'Сидоров', 'Иванович', 'Ростов-на-Дону', '1993-06-18', 38),
(153, 'Николай', 'Морозов', 'Николаевич', 'Самара', '1981-12-31', 49),
(154, 'Дмитрий', 'Сидоров', 'Михайлович', 'Новосибирск', '1998-07-27', 50),
(155, 'Александр', 'Лебедев', 'Александрович', 'Омск', '1993-04-14', 44),
(156, 'Михаил', 'Смирнов', 'Дмитриевич', 'Казань', '1996-04-08', 36),
(157, 'Алексей', 'Иванов', 'Михайлович', 'Нижний Новгород', '1996-06-18', 17),
(158, 'Николай', 'Кузнецов', 'Николаевич', 'Москва', '1980-08-29', 1),
(159, 'Дмитрий', 'Кузнецов', 'Юрьевич', 'Новосибирск', '1992-10-19', 18),
(160, 'Алексей', 'Кузнецов', 'Сергеевич', 'Челябинск', '1987-03-27', 22),
(161, 'Владимир', 'Иванов', 'Михайлович', 'Казань', '1981-10-19', 44),
(162, 'Александр', 'Морозов', 'Алексеевич', 'Ростов-на-Дону', '1997-08-23', 41),
(163, 'Михаил', 'Лебедев', 'Михайлович', 'Ростов-на-Дону', '1981-08-14', 32),
(164, 'Александр', 'Морозов', 'Владимирович', 'Челябинск', '1994-03-03', 45),
(165, 'Иван', 'Лебедев', 'Дмитриевич', 'Новосибирск', '1999-10-18', 31),
(166, 'Сергей', 'Смирнов', 'Николаевич', 'Омск', '1982-04-19', 9),
(167, 'Сергей', 'Смирнов', 'Михайлович', 'Санкт-Петербург', '1996-09-22', 28),
(168, 'Сергей', 'Морозов', 'Владимирович', 'Казань', '1994-04-17', 25),
(169, 'Александр', 'Попов', 'Юрьевич', 'Новосибирск', '2003-01-12', 27),
(170, 'Иван', 'Смирнов', 'Николаевич', 'Самара', '1982-08-04', 46),
(171, 'Андрей', 'Козлов', 'Иванович', 'Челябинск', '1990-04-14', 29),
(172, 'Дмитрий', 'Иванов', 'Юрьевич', 'Новосибирск', '2003-08-23', 16),
(173, 'Николай', 'Лебедев', 'Иванович', 'Нижний Новгород', '1999-10-17', 12),
(174, 'Михаил', 'Новиков', 'Юрьевич', 'Самара', '1981-08-31', 17),
(175, 'Андрей', 'Новиков', 'Дмитриевич', 'Новосибирск', '1984-08-24', 19),
(176, 'Юрий', 'Петров', 'Юрьевич', 'Санкт-Петербург', '1982-06-25', 18),
(177, 'Владимир', 'Морозов', 'Николаевич', 'Омск', '1989-02-08', 19),
(178, 'Александр', 'Морозов', 'Сергеевич', 'Казань', '1991-08-11', 38),
(179, 'Андрей', 'Сидоров', 'Николаевич', 'Ростов-на-Дону', '2000-11-15', 39),
(180, 'Дмитрий', 'Иванов', 'Владимирович', 'Нижний Новгород', '2001-07-15', 43),
(181, 'Юрий', 'Морозов', 'Михайлович', 'Санкт-Петербург', '1999-10-30', 25),
(182, 'Михаил', 'Петров', 'Иванович', 'Москва', '2005-08-09', 36),
(183, 'Алексей', 'Сидоров', 'Иванович', 'Омск', '1996-08-13', 26),
(184, 'Николай', 'Кузнецов', 'Николаевич', 'Новосибирск', '1992-05-07', 26),
(185, 'Юрий', 'Козлов', 'Сергеевич', 'Новосибирск', '1992-01-15', 41),
(186, 'Иван', 'Сидоров', 'Иванович', 'Омск', '1990-02-04', 26),
(187, 'Андрей', 'Петров', 'Сергеевич', 'Казань', '1980-07-20', 16),
(188, 'Андрей', 'Смирнов', 'Иванович', 'Челябинск', '1988-04-07', 5),
(189, 'Андрей', 'Петров', 'Михайлович', 'Казань', '1999-06-10', 13),
(190, 'Михаил', 'Новиков', 'Андреевич', 'Омск', '1988-07-19', 49),
(191, 'Александр', 'Смирнов', 'Юрьевич', 'Самара', '1983-07-14', 14),
(192, 'Андрей', 'Новиков', 'Андреевич', 'Санкт-Петербург', '1988-12-28', 22),
(193, 'Юрий', 'Сидоров', 'Владимирович', 'Ростов-на-Дону', '1997-11-01', 36),
(194, 'Михаил', 'Попов', 'Михайлович', 'Москва', '1989-10-24', 23),
(195, 'Дмитрий', 'Сидоров', 'Алексеевич', 'Нижний Новгород', '1996-10-03', 48),
(196, 'Александр', 'Иванов', 'Михайлович', 'Челябинск', '2001-01-14', 36),
(197, 'Михаил', 'Козлов', 'Иванович', 'Санкт-Петербург', '1981-10-07', 2),
(198, 'Владимир', 'Морозов', 'Николаевич', 'Новосибирск', '2005-12-10', 15),
(199, 'Сергей', 'Сидоров', 'Алексеевич', 'Нижний Новгород', '1984-08-08', 44),
(200, 'Николай', 'Смирнов', 'Александрович', 'Омск', '2005-12-21', 38),
(201, 'Александр', 'Иванов', 'Иванович', 'Санкт-Петербург', '2004-09-30', 18),
(202, 'Михаил', 'Лебедев', 'Владимирович', 'Самара', '1998-08-02', 40),
(203, 'Владимир', 'Сидоров', 'Дмитриевич', 'Екатеринбург', '1981-09-19', 22),
(204, 'Сергей', 'Сидоров', 'Алексеевич', 'Самара', '1991-04-14', 41),
(205, 'Владимир', 'Иванов', 'Михайлович', 'Ростов-на-Дону', '1982-01-12', 6),
(206, 'Николай', 'Иванов', 'Михайлович', 'Екатеринбург', '1994-09-10', 27),
(207, 'Александр', 'Иванов', 'Алексеевич', 'Новосибирск', '1980-07-14', 38),
(208, 'Юрий', 'Кузнецов', 'Юрьевич', 'Москва', '2004-10-09', 27),
(209, 'Иван', 'Иванов', 'Михайлович', 'Челябинск', '1987-12-21', 41),
(210, 'Сергей', 'Морозов', 'Николаевич', 'Москва', '1994-07-10', 34),
(211, 'Иван', 'Новиков', 'Александрович', 'Новосибирск', '1989-02-15', 46),
(212, 'Дмитрий', 'Попов', 'Алексеевич', 'Москва', '1986-01-15', 44),
(213, 'Александр', 'Лебедев', 'Андреевич', 'Челябинск', '1994-12-07', 37),
(214, 'Михаил', 'Смирнов', 'Михайлович', 'Казань', '1991-04-13', 44),
(215, 'Сергей', 'Попов', 'Юрьевич', 'Нижний Новгород', '2000-09-26', 45),
(216, 'Александр', 'Сидоров', 'Александрович', 'Челябинск', '1997-09-25', 41),
(217, 'Сергей', 'Новиков', 'Николаевич', 'Омск', '1984-12-06', 39),
(218, 'Николай', 'Новиков', 'Александрович', 'Казань', '1996-07-20', 7),
(219, 'Александр', 'Сидоров', 'Сергеевич', 'Нижний Новгород', '2004-05-12', 4),
(220, 'Иван', 'Новиков', 'Алексеевич', 'Ростов-на-Дону', '1998-03-12', 27),
(221, 'Андрей', 'Кузнецов', 'Андреевич', 'Нижний Новгород', '1982-01-15', 26),
(222, 'Юрий', 'Морозов', 'Юрьевич', 'Челябинск', '1994-04-23', 11),
(223, 'Николай', 'Козлов', 'Андреевич', 'Екатеринбург', '1993-03-25', 24),
(224, 'Юрий', 'Иванов', 'Владимирович', 'Омск', '1996-03-15', 41),
(225, 'Александр', 'Петров', 'Александрович', 'Нижний Новгород', '2001-08-19', 43),
(226, 'Алексей', 'Новиков', 'Юрьевич', 'Екатеринбург', '1999-04-12', 9),
(227, 'Владимир', 'Морозов', 'Михайлович', 'Омск', '1998-02-18', 38),
(228, 'Владимир', 'Лебедев', 'Андреевич', 'Санкт-Петербург', '1998-01-23', 15),
(229, 'Алексей', 'Козлов', 'Юрьевич', 'Самара', '1998-01-28', 48),
(230, 'Иван', 'Смирнов', 'Николаевич', 'Ростов-на-Дону', '2005-08-10', 28),
(231, 'Сергей', 'Морозов', 'Андреевич', 'Санкт-Петербург', '1988-06-04', 15),
(232, 'Дмитрий', 'Смирнов', 'Андреевич', 'Санкт-Петербург', '1983-02-22', 26),
(233, 'Иван', 'Морозов', 'Юрьевич', 'Казань', '1984-01-05', 21),
(234, 'Алексей', 'Петров', 'Дмитриевич', 'Санкт-Петербург', '1983-04-17', 29),
(235, 'Юрий', 'Козлов', 'Дмитриевич', 'Санкт-Петербург', '2004-10-25', 44),
(236, 'Сергей', 'Петров', 'Владимирович', 'Самара', '1991-02-25', 28),
(237, 'Сергей', 'Сидоров', 'Дмитриевич', 'Нижний Новгород', '1996-08-25', 44),
(238, 'Владимир', 'Попов', 'Дмитриевич', 'Челябинск', '1987-12-17', 8),
(239, 'Алексей', 'Новиков', 'Иванович', 'Ростов-на-Дону', '2001-06-13', 4),
(240, 'Владимир', 'Попов', 'Дмитриевич', 'Челябинск', '1994-08-30', 3),
(241, 'Алексей', 'Лебедев', 'Алексеевич', 'Санкт-Петербург', '2002-11-11', 18),
(242, 'Николай', 'Кузнецов', 'Дмитриевич', 'Челябинск', '1994-09-20', 16),
(243, 'Дмитрий', 'Петров', 'Михайлович', 'Ростов-на-Дону', '1980-09-29', 19),
(244, 'Владимир', 'Кузнецов', 'Михайлович', 'Санкт-Петербург', '1990-07-04', 13),
(245, 'Андрей', 'Петров', 'Сергеевич', 'Нижний Новгород', '1994-03-02', 4),
(246, 'Алексей', 'Сидоров', 'Сергеевич', 'Санкт-Петербург', '2004-04-10', 19),
(247, 'Юрий', 'Петров', 'Дмитриевич', 'Санкт-Петербург', '1995-11-25', 38),
(248, 'Александр', 'Новиков', 'Алексеевич', 'Омск', '1999-03-08', 34),
(249, 'Владимир', 'Морозов', 'Николаевич', 'Омск', '1986-05-17', 8),
(250, 'Сергей', 'Козлов', 'Николаевич', 'Новосибирск', '1995-02-23', 36),
(251, 'Юрий', 'Кузнецов', 'Михайлович', 'Санкт-Петербург', '2000-04-23', 40),
(252, 'Николай', 'Новиков', 'Владимирович', 'Новосибирск', '2002-04-20', 45),
(253, 'Михаил', 'Лебедев', 'Сергеевич', 'Челябинск', '1988-02-01', 1),
(254, 'Алексей', 'Козлов', 'Николаевич', 'Новосибирск', '1985-09-28', 9),
(255, 'Сергей', 'Новиков', 'Дмитриевич', 'Челябинск', '1992-03-31', 10),
(256, 'Александр', 'Лебедев', 'Юрьевич', 'Омск', '2002-10-29', 48),
(257, 'Владимир', 'Попов', 'Андреевич', 'Нижний Новгород', '1997-10-02', 45),
(258, 'Алексей', 'Кузнецов', 'Алексеевич', 'Новосибирск', '2005-06-09', 15),
(259, 'Алексей', 'Кузнецов', 'Андреевич', 'Самара', '2003-09-09', 14),
(260, 'Алексей', 'Сидоров', 'Николаевич', 'Новосибирск', '1994-10-31', 48),
(261, 'Андрей', 'Иванов', 'Александрович', 'Екатеринбург', '1999-10-05', 1),
(262, 'Владимир', 'Козлов', 'Сергеевич', 'Новосибирск', '1989-11-22', 10),
(263, 'Александр', 'Сидоров', 'Андреевич', 'Челябинск', '1981-02-23', 9),
(264, 'Сергей', 'Попов', 'Алексеевич', 'Нижний Новгород', '2005-08-09', 10),
(265, 'Андрей', 'Морозов', 'Александрович', 'Омск', '1990-01-14', 37),
(266, 'Дмитрий', 'Иванов', 'Иванович', 'Екатеринбург', '2004-12-28', 40),
(267, 'Иван', 'Кузнецов', 'Дмитриевич', 'Казань', '1997-05-15', 44),
(268, 'Владимир', 'Петров', 'Сергеевич', 'Москва', '1989-12-16', 16),
(269, 'Сергей', 'Петров', 'Алексеевич', 'Самара', '1991-08-04', 34),
(270, 'Иван', 'Козлов', 'Александрович', 'Ростов-на-Дону', '2005-01-12', 13),
(271, 'Михаил', 'Петров', 'Александрович', 'Челябинск', '1988-12-03', 20),
(272, 'Алексей', 'Сидоров', 'Александрович', 'Екатеринбург', '1981-07-13', 36),
(273, 'Юрий', 'Иванов', 'Михайлович', 'Самара', '1987-04-16', 37),
(274, 'Александр', 'Морозов', 'Сергеевич', 'Ростов-на-Дону', '1990-12-07', 41),
(275, 'Юрий', 'Смирнов', 'Иванович', 'Санкт-Петербург', '1998-07-31', 7),
(276, 'Иван', 'Попов', 'Владимирович', 'Екатеринбург', '1988-11-12', 44),
(277, 'Сергей', 'Петров', 'Александрович', 'Самара', '1986-04-26', 28),
(278, 'Александр', 'Петров', 'Алексеевич', 'Казань', '1982-08-31', 29),
(279, 'Андрей', 'Кузнецов', 'Дмитриевич', 'Новосибирск', '1982-02-19', 48),
(280, 'Иван', 'Попов', 'Сергеевич', 'Самара', '1981-08-24', 11),
(281, 'Сергей', 'Новиков', 'Михайлович', 'Челябинск', '1990-12-24', 29),
(282, 'Александр', 'Иванов', 'Михайлович', 'Челябинск', '2001-10-01', 16),
(283, 'Юрий', 'Новиков', 'Михайлович', 'Санкт-Петербург', '1997-10-25', 22),
(284, 'Дмитрий', 'Новиков', 'Дмитриевич', 'Ростов-на-Дону', '1983-10-16', 18),
(285, 'Иван', 'Морозов', 'Николаевич', 'Ростов-на-Дону', '1994-03-01', 6),
(286, 'Сергей', 'Лебедев', 'Иванович', 'Москва', '1987-07-31', 30),
(287, 'Алексей', 'Петров', 'Николаевич', 'Екатеринбург', '1991-08-28', 37),
(288, 'Сергей', 'Лебедев', 'Владимирович', 'Нижний Новгород', '1985-06-15', 41),
(289, 'Сергей', 'Попов', 'Николаевич', 'Самара', '1986-04-27', 17),
(290, 'Юрий', 'Иванов', 'Андреевич', 'Санкт-Петербург', '1995-01-31', 48),
(291, 'Владимир', 'Иванов', 'Николаевич', 'Челябинск', '1983-10-04', 14),
(292, 'Сергей', 'Иванов', 'Иванович', 'Екатеринбург', '1990-11-29', 35),
(293, 'Владимир', 'Сидоров', 'Алексеевич', 'Челябинск', '1995-12-02', 1),
(294, 'Юрий', 'Новиков', 'Андреевич', 'Санкт-Петербург', '1985-02-18', 50),
(295, 'Андрей', 'Попов', 'Дмитриевич', 'Екатеринбург', '1990-12-16', 39),
(296, 'Николай', 'Морозов', 'Александрович', 'Санкт-Петербург', '1982-02-22', 50),
(297, 'Владимир', 'Попов', 'Владимирович', 'Нижний Новгород', '1992-03-07', 28),
(298, 'Дмитрий', 'Иванов', 'Владимирович', 'Нижний Новгород', '1990-08-20', 31),
(299, 'Дмитрий', 'Лебедев', 'Сергеевич', 'Екатеринбург', '2000-09-02', 9),
(300, 'Александр', 'Кузнецов', 'Андреевич', 'Екатеринбург', '1980-12-03', 23),
(301, 'Николай', 'Кузнецов', 'Александрович', 'Москва', '1991-07-08', 18),
(302, 'Владимир', 'Новиков', 'Сергеевич', 'Москва', '1984-04-03', 26),
